muni_code,cnty_name,cnty_levy,cnty_dist_levy,adj_cnty_levy,tot_cnty_levy,cnty_txbl_full_val,full_val_tax_rate_mills,avg_eff_prop_tax_rate,avg_eff_prop_tax_pct
010100000000,Albany,103374680.0,0.0,22299.48046875,103396984.0,37210537984.0,2.7787015438079834,0.002778701543807983,0.2778701543807983
020100000000,Allegany,31122922.0,0.0,392692.1875,31515614.0,3113770496.0,10.121367454528809,0.010121367454528808,1.0121367454528807
360050000000,Bronx,,,,35311506311.0,1372240521541.0,25.7327383623287,0.0257327383623287,2.57327383623287
030100000000,Broome,75225784.0,0.0,10878.240234375,75236656.0,13679750144.0,5.499855995178223,0.0054998559951782225,0.5499855995178222
040100000000,Cattaraugus,57692880.0,0.0,33675.4609375,57726556.0,7109545984.0,8.119584083557129,0.008119584083557129,0.8119584083557129
050100000000,Cayuga,45221940.0,171027.8125,811615.75,46204584.0,7556188672.0,6.114799976348877,0.006114799976348877,0.6114799976348877
060100000000,Chautauqua,68226584.0,0.0,5012988.5,73239568.0,10920597504.0,6.7065534591674805,0.006706553459167481,0.670655345916748
070100000000,Chemung,30695156.0,1152620.5,3726988.5,35574764.0,6157620224.0,5.777356147766113,0.0057773561477661136,0.5777356147766114
080100000000,Chenango,30098158.0,0.0,0.0,30098158.0,3496455680.0,8.60819149017334,0.00860819149017334,0.860819149017334
090100000000,Clinton,19603870.0,0.0,52856.8203125,19656726.0,7450357248.0,2.6383602619171143,0.002638360261917114,0.2638360261917114
100100000000,Columbia,49738612.0,0.0,1479.8499755859375,49740092.0,14404055040.0,3.453200578689575,0.003453200578689575,0.3453200578689575
110100000000,Cortland,40293540.0,18242.189453125,0.0,40311780.0,3760742912.0,10.719100952148438,0.010719100952148437,1.0719100952148437
120100000000,Delaware,36544760.0,0.0,0.0,36544760.0,9071425536.0,4.028557777404785,0.004028557777404785,0.4028557777404785
130100000000,Dutchess,102108560.0,3379326.0,190647.40625,105678528.0,47073337344.0,2.244976282119751,0.002244976282119751,0.22449762821197508
140100000000,Erie,329785824.0,56707528.0,862952.75,387356320.0,104251088896.0,3.715609073638916,0.003715609073638916,0.3715609073638916
150100000000,Essex,28683690.0,0.0,19265.0703125,28702954.0,10689476608.0,2.685159921646118,0.0026851599216461183,0.2685159921646118
160100000000,Franklin,18841250.0,30699.9609375,555311.25,19427262.0,5727776256.0,3.391763210296631,0.0033917632102966307,0.33917632102966305
170100000000,Fulton,33324138.0,0.0,7944.6298828125,33332082.0,5555173376.0,6.000187397003174,0.006000187397003174,0.6000187397003174
180100000000,Genesee,33550428.0,0.0,80309.4765625,33630736.0,4443006976.0,7.569364070892334,0.007569364070892334,0.7569364070892334
190100000000,Greene,27301198.0,95000.9609375,130903.640625,27527102.0,10831174656.0,2.5414698123931885,0.0025414698123931885,0.25414698123931884
200100000000,Hamilton,9938138.0,0.0,0.0,9938138.0,4841193472.0,2.052828073501587,0.002052828073501587,0.2052828073501587
210100000000,Herkimer,26991948.0,467465.15625,0.0,27459412.0,7722147840.0,3.55592942237854,0.00355592942237854,0.355592942237854
220100000000,Jefferson,64425560.0,0.0,198638.4375,64624196.0,11020573696.0,5.863959789276123,0.005863959789276123,0.5863959789276123
360470000000,Kings,,,,35311506311.0,1372240521541.0,25.7327383623287,0.0257327383623287,2.57327383623287
230100000000,Lewis,19929192.0,0.0,69959.0,19999150.0,3160961792.0,6.326919078826904,0.0063269190788269045,0.6326919078826905
